date,issues_open
2016-07-01T14:58:37+00:00,22
2016-07-04T10:02:56+00:00,23
2016-07-04T10:29:56+00:00,22
2016-07-04T11:40:44+00:00,21
2016-07-04T14:23:28+00:00,22
2016-07-04T14:27:59+00:00,21
2016-07-04T14:39:41+00:00,22
2016-07-05T14:55:33+00:00,23
2016-07-05T16:45:49+00:00,24
2016-07-05T18:58:48+00:00,23
2016-07-06T09:13:01+00:00,22
2016-07-06T09:50:28+00:00,21
2016-07-07T16:42:09+00:00,22
2016-07-07T17:33:18+00:00,23
2016-07-08T05:11:53+00:00,24
2016-07-08T14:50:18+00:00,23
2016-07-08T14:52:32+00:00,22
2016-07-12T13:30:13+00:00,21
2016-07-12T13:53:37+00:00,20
2016-07-12T13:57:29+00:00,19
2016-07-12T14:48:05+00:00,18
2016-07-12T20:52:55+00:00,19
2016-07-14T16:20:39+00:00,20
2016-07-18T15:52:31+00:00,19
2016-07-20T04:14:19+00:00,20
2016-07-21T07:50:49+00:00,19
2016-07-21T09:01:11+00:00,20
2016-07-21T09:20:49+00:00,19
2016-07-21T09:30:58+00:00,20
2016-07-21T09:42:40+00:00,19
2016-07-26T08:06:10+00:00,20
2016-07-26T08:43:06+00:00,19
2016-07-27T10:00:10+00:00,20
2016-07-27T16:31:34+00:00,21
2016-07-27T20:34:43+00:00,20
2016-07-28T12:56:45+00:00,21
2016-08-03T10:23:44+00:00,22
2016-08-05T04:40:32+00:00,23
2016-08-11T17:08:18+00:00,24
2016-08-15T15:10:57+00:00,23
2016-08-15T15:10:57+00:00,22
2016-08-16T07:40:06+00:00,23
2016-08-16T23:37:50+00:00,24
2016-08-16T23:46:57+00:00,23
2016-08-16T23:49:16+00:00,24
2016-08-18T16:24:24+00:00,25
2016-08-18T21:42:54+00:00,24
2016-08-19T18:22:59+00:00,23
2016-08-22T22:13:33+00:00,24
2016-08-23T14:44:27+00:00,25
2016-08-23T15:06:17+00:00,24
2016-08-23T15:08:19+00:00,25
2016-08-24T00:15:13+00:00,24
2016-08-24T20:31:38+00:00,23
2016-08-25T19:11:07+00:00,22
2016-08-31T16:12:01+00:00,23
2016-09-02T07:30:16+00:00,24
2016-09-02T08:21:00+00:00,25
2016-09-06T15:05:02+00:00,26
2016-09-10T00:52:04+00:00,27
2016-09-13T14:39:14+00:00,28
2016-09-14T15:36:21+00:00,29
2016-09-15T08:46:44+00:00,30
2016-09-15T08:47:32+00:00,31
2016-09-15T11:35:25+00:00,32
2016-09-18T12:08:30+00:00,33
2016-09-20T12:27:59+00:00,34
2016-09-21T15:14:58+00:00,35
2016-09-21T15:28:05+00:00,36
2016-09-22T08:14:04+00:00,37
2016-09-22T14:44:28+00:00,36
2016-09-22T15:49:41+00:00,35
2016-09-22T17:49:16+00:00,36
2016-09-22T20:45:43+00:00,35
2016-09-23T12:44:57+00:00,34
2016-09-23T12:51:22+00:00,33
2016-09-26T14:02:52+00:00,34
2016-09-27T17:29:43+00:00,35
2016-09-28T22:05:17+00:00,36
2016-09-29T18:45:15+00:00,37
2016-09-29T21:15:22+00:00,36
2016-10-10T22:37:40+00:00,37
2016-10-12T15:57:58+00:00,38
2016-10-12T20:06:52+00:00,39
2016-10-13T05:32:01+00:00,40
2016-10-13T11:15:00+00:00,41
2016-10-14T15:38:04+00:00,42
2016-10-18T06:56:19+00:00,41
2016-10-18T16:27:00+00:00,42
2016-10-19T10:41:38+00:00,43
2016-10-20T06:43:52+00:00,42
2016-10-21T16:50:12+00:00,43
2016-10-22T11:13:33+00:00,42
2016-10-25T16:47:18+00:00,43
2016-10-26T15:57:41+00:00,44
2016-10-30T12:28:24+00:00,45
2016-10-30T13:14:17+00:00,46
2016-10-31T09:24:01+00:00,47
2016-10-31T14:06:07+00:00,48
2016-10-31T16:15:55+00:00,49
2016-10-31T16:29:00+00:00,50
2016-11-02T15:09:51+00:00,51
2016-11-02T18:08:21+00:00,50
2016-11-02T23:44:34+00:00,51
2016-11-03T16:13:54+00:00,52
2016-11-03T20:00:35+00:00,53
2016-11-04T12:13:02+00:00,54
2016-11-04T13:18:46+00:00,53
2016-11-04T16:22:47+00:00,52
2016-11-09T21:31:38+00:00,53
2016-11-14T10:17:56+00:00,52
2016-11-14T12:48:10+00:00,51
2016-11-14T13:03:48+00:00,50
2016-11-14T13:18:40+00:00,49
2016-11-14T13:49:52+00:00,48
2016-11-14T14:06:58+00:00,47
2016-11-14T14:36:00+00:00,46
2016-11-14T14:53:58+00:00,45
2016-11-14T15:05:53+00:00,46
2016-11-14T15:16:09+00:00,45
2016-11-14T23:52:46+00:00,46
2016-11-15T04:43:21+00:00,45
2016-11-15T09:10:01+00:00,46
2016-11-16T17:41:44+00:00,45
2016-11-21T15:49:16+00:00,46
2016-11-23T11:57:00+00:00,47
2016-11-23T13:23:58+00:00,48
2016-11-23T16:32:32+00:00,47
2016-11-23T17:23:05+00:00,46
2016-11-26T18:18:19+00:00,47
2016-11-28T01:56:12+00:00,48
2016-11-28T08:56:12+00:00,49
2016-11-28T09:40:59+00:00,48
2016-11-28T12:54:35+00:00,49
2016-11-28T12:56:56+00:00,48
2016-11-30T13:10:11+00:00,49
2016-12-05T19:43:32+00:00,50
2016-12-06T09:44:07+00:00,49
2016-12-06T09:48:16+00:00,48
2016-12-06T13:48:36+00:00,47
2016-12-06T14:30:23+00:00,46
2016-12-06T17:47:24+00:00,47
2016-12-06T18:22:40+00:00,46
2016-12-07T14:10:00+00:00,45
2016-12-07T14:14:29+00:00,44
2016-12-13T23:08:06+00:00,45
2016-12-14T16:42:45+00:00,44
2016-12-16T13:40:25+00:00,43
2016-12-19T12:08:55+00:00,42
2016-12-20T10:47:12+00:00,41
2016-12-20T14:19:45+00:00,40
2016-12-20T16:21:32+00:00,41
2016-12-20T17:15:44+00:00,40
2016-12-20T19:02:43+00:00,41
2016-12-21T09:18:03+00:00,40
2016-12-21T10:16:59+00:00,39
2016-12-21T13:37:59+00:00,40
2016-12-21T15:40:34+00:00,39
2016-12-21T15:42:57+00:00,38
2016-12-21T15:50:29+00:00,37
2016-12-21T15:58:21+00:00,36
2016-12-21T15:59:00+00:00,35
2016-12-21T17:07:36+00:00,36
2016-12-21T17:12:44+00:00,35
2016-12-21T17:31:27+00:00,36
2016-12-21T17:37:36+00:00,35
2016-12-22T18:23:21+00:00,36
2016-12-26T12:02:12+00:00,37
2016-12-26T12:03:20+00:00,38
2016-12-26T12:41:49+00:00,37
2016-12-29T06:58:11+00:00,38
2017-01-01T11:57:32+00:00,37
2017-01-03T17:24:37+00:00,38
2017-01-03T17:26:47+00:00,39
2017-01-09T03:12:13+00:00,40
2017-01-09T04:09:48+00:00,39
2017-01-12T05:44:06+00:00,40
2017-01-12T10:32:14+00:00,41
2017-01-12T18:36:23+00:00,40
2017-01-18T20:13:32+00:00,41
2017-01-19T15:08:17+00:00,42
2017-01-20T08:49:56+00:00,41
2017-01-24T08:36:41+00:00,42
2017-01-27T22:55:53+00:00,43
2017-01-30T14:45:55+00:00,44
2017-02-03T17:08:09+00:00,45
2017-02-08T18:14:58+00:00,46
2017-02-09T13:02:00+00:00,47
2017-02-10T14:45:51+00:00,48
2017-02-12T08:28:23+00:00,49
2017-02-14T20:09:10+00:00,50
2017-02-17T03:08:28+00:00,51
2017-02-17T16:10:02+00:00,50
2017-02-20T09:08:20+00:00,51
2017-02-20T09:19:12+00:00,50
2017-02-20T15:50:59+00:00,49
2017-02-20T17:00:09+00:00,50
2017-02-22T17:05:02+00:00,49
2017-02-23T11:00:23+00:00,48
2017-02-23T14:27:16+00:00,47
2017-02-24T09:20:19+00:00,48
2017-02-24T10:49:14+00:00,49
2017-02-24T13:18:27+00:00,50
2017-02-27T09:41:11+00:00,49
2017-02-28T21:52:28+00:00,50
2017-03-01T09:54:50+00:00,49
2017-03-01T10:34:08+00:00,48
2017-03-01T10:50:43+00:00,49
2017-03-01T10:53:57+00:00,50
2017-03-01T10:55:08+00:00,49
2017-03-01T11:53:46+00:00,50
2017-03-01T21:45:47+00:00,51
2017-03-02T09:40:23+00:00,50
2017-03-02T14:44:25+00:00,49
2017-03-03T07:33:08+00:00,50
2017-03-03T08:17:24+00:00,49
2017-03-08T12:24:18+00:00,48
2017-03-09T14:06:13+00:00,49
2017-03-09T17:05:13+00:00,50
2017-03-09T17:16:38+00:00,51
2017-03-09T21:36:17+00:00,52
2017-03-10T19:58:45+00:00,53
2017-03-10T21:54:07+00:00,52
2017-03-18T22:26:39+00:00,53
2017-03-20T09:23:17+00:00,52
2017-03-21T18:25:01+00:00,53
2017-03-23T10:26:24+00:00,54
2017-03-23T11:19:37+00:00,53
2017-03-23T12:26:17+00:00,54
2017-03-23T15:06:09+00:00,55
2017-03-23T16:14:06+00:00,54
2017-03-27T11:50:54+00:00,53
2017-03-28T16:00:22+00:00,52
2017-03-29T13:41:05+00:00,53
2017-03-29T15:06:44+00:00,54
2017-03-30T07:03:07+00:00,53
2017-03-30T13:20:18+00:00,52
2017-03-30T18:46:24+00:00,53
2017-03-31T06:17:57+00:00,52
2017-03-31T21:58:57+00:00,53
2017-04-03T14:14:40+00:00,54
2017-04-03T14:45:58+00:00,55
2017-04-03T15:29:58+00:00,54
2017-04-04T15:26:35+00:00,53
2017-04-05T11:32:43+00:00,52
2017-04-05T12:35:56+00:00,53
2017-04-05T13:32:04+00:00,52
2017-04-05T20:49:10+00:00,53
2017-04-06T08:00:11+00:00,52
2017-04-06T13:53:16+00:00,51
2017-04-07T12:01:45+00:00,50
2017-04-07T12:03:23+00:00,49
2017-04-09T02:25:26+00:00,50
2017-04-10T09:49:34+00:00,51
2017-04-10T09:55:44+00:00,50
2017-04-12T19:32:15+00:00,51
2017-04-12T19:35:55+00:00,52
2017-04-12T20:05:24+00:00,53
2017-04-13T07:40:40+00:00,52
2017-04-13T08:00:46+00:00,51
2017-04-13T14:56:14+00:00,50
2017-04-20T10:38:24+00:00,51
2017-04-20T11:28:04+00:00,50
2017-04-20T14:43:03+00:00,51
2017-04-20T15:13:16+00:00,52
2017-04-21T14:46:22+00:00,51
2017-04-25T08:57:56+00:00,50
2017-04-26T13:57:01+00:00,51
2017-05-02T06:06:57+00:00,50
2017-05-02T06:10:58+00:00,49
2017-05-04T14:51:47+00:00,50
2017-05-08T11:46:29+00:00,49
2017-05-08T12:37:52+00:00,50
2017-05-08T16:17:39+00:00,49
2017-05-09T07:11:39+00:00,48
2017-05-09T09:23:16+00:00,47
2017-05-09T13:08:29+00:00,46
2017-05-09T16:34:36+00:00,45
2017-05-10T10:13:08+00:00,44
2017-05-10T10:16:38+00:00,45
2017-05-11T12:38:38+00:00,44
2017-05-15T07:53:50+00:00,45
2017-05-15T14:32:09+00:00,44
2017-05-15T16:29:33+00:00,43
2017-05-16T12:11:08+00:00,42
2017-05-16T13:37:00+00:00,41
2017-05-16T15:40:39+00:00,40
2017-05-16T16:41:04+00:00,39
2017-05-17T12:02:46+00:00,38
2017-05-18T15:09:58+00:00,39
2017-05-19T13:01:58+00:00,40
2017-05-22T20:29:48+00:00,41
2017-05-26T07:08:27+00:00,42
2017-05-29T15:54:46+00:00,43
2017-05-30T08:07:22+00:00,44
2017-05-31T07:14:32+00:00,43
2017-05-31T07:34:15+00:00,42
2017-06-01T18:41:50+00:00,43
2017-06-05T20:32:05+00:00,44
2017-06-06T09:17:34+00:00,45
2017-06-08T12:48:44+00:00,46
2017-06-12T15:17:10+00:00,47
2017-06-13T10:42:50+00:00,48
2017-06-13T13:58:21+00:00,47
2017-06-16T06:46:04+00:00,48
2017-06-16T09:16:48+00:00,47
2017-06-19T13:57:41+00:00,48
2017-06-19T19:23:25+00:00,49
2017-06-22T09:14:25+00:00,50
2017-06-25T00:56:59+00:00,51
2017-06-27T21:02:11+00:00,52
2017-06-28T09:19:16+00:00,53
2017-06-29T08:51:59+00:00,52
2017-06-29T09:02:37+00:00,51
2017-07-05T15:25:32+00:00,50
2017-07-05T16:53:46+00:00,49
2017-07-06T10:25:17+00:00,48
2017-07-06T14:52:44+00:00,47
2017-07-06T16:43:53+00:00,46
2017-07-07T08:26:41+00:00,45
2017-07-07T09:54:17+00:00,44
2017-07-07T11:58:36+00:00,43
2017-07-07T12:17:10+00:00,42
2017-07-07T12:22:38+00:00,41
2017-07-10T03:49:42+00:00,42
2017-07-10T12:57:42+00:00,43
2017-07-10T14:54:18+00:00,44
2017-07-10T17:17:05+00:00,45
2017-07-10T19:00:03+00:00,44
2017-07-11T13:07:46+00:00,43
2017-07-12T08:59:05+00:00,42
2017-07-12T09:54:01+00:00,41
2017-07-12T11:36:42+00:00,40
2017-07-12T11:54:11+00:00,39
2017-07-14T16:22:13+00:00,40
2017-07-17T13:29:51+00:00,39
2017-07-17T13:39:03+00:00,38
2017-07-17T13:42:31+00:00,39
2017-07-18T06:01:39+00:00,40
2017-07-18T07:31:25+00:00,39
2017-07-18T13:03:30+00:00,38
2017-07-18T13:28:23+00:00,39
2017-07-18T15:12:40+00:00,40
2017-07-19T10:59:37+00:00,41
2017-07-19T11:07:31+00:00,42
2017-07-19T11:11:35+00:00,43
2017-07-19T11:20:20+00:00,42
2017-07-19T11:21:30+00:00,41
2017-07-19T13:30:36+00:00,42
2017-07-19T20:11:26+00:00,43
2017-07-20T10:25:20+00:00,44
2017-07-20T15:02:58+00:00,45
2017-07-20T15:54:36+00:00,46
2017-07-21T07:44:01+00:00,47
